序号,输入地址,匹配地址,buildingCode,楼层,房间号,组合来源
1,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,10,A,接口(按层给出房间)
1,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,10,B,接口(按层给出房间)
1,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,10,E,接口(按层给出房间)
1,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,11,A,接口(按层给出房间)
1,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,11,E,接口(按层给出房间)
1,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,12,A,接口(按层给出房间)
2,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,10,A,接口(按层给出房间)
2,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,10,B,接口(按层给出房间)
2,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,10,E,接口(按层给出房间)
2,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,11,A,接口(按层给出房间)
2,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,11,E,接口(按层给出房间)
2,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,沙安街,馬鞍山,新界",7574190008,12,A,接口(按层给出房间)
