序号,输入地址,查询关键词,候选总数,recogFlag分布,未命中原因,离线筛查
3,沙田大圍美城苑貴城閣,沙田大圍美城苑貴城閣,0,,接口无任何候选地址(查无此址),F006;C001;C004;A005
4,沙田第一城第一座,沙田第一城第一座,0,,接口无任何候选地址(查无此址),F006;C001;C004;A005
5,"康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍",1,N×1,有 1 条候选但无一条 recogFlag=Y(N×1),A002;C005
6,"康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍",1,N×1,有 1 条候选但无一条 recogFlag=Y(N×1),A002;C005
7,"康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍",1,N×1,有 1 条候选但无一条 recogFlag=Y(N×1),A002;C005
8,愉澤閣,愉澤閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
9,"愉澤閣,愉田苑,銀城街,沙田,新界","愉澤閣,愉田苑,銀城街,沙田,新界",0,,接口无任何候选地址(查无此址),无问题
10,"愉澤閣,愉田苑,銀城街,沙田,新界","愉澤閣,愉田苑,銀城街,沙田,新界",0,,接口无任何候选地址(查无此址),无问题
11,愉和閣,愉和閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
12,愉悅閣,愉悅閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
13,愉健閣,愉健閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
14,愉群閣,愉群閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
15,愉逸閣,愉逸閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
16,愉瑞閣,愉瑞閣,0,,接口无任何候选地址(查无此址),C001;C002;C004;C005;A005
17,慶盛閣，穗禾苑，穗禾路，沙田，新界,慶盛閣，穗禾苑，穗禾路，沙田，新界,0,,接口无任何候选地址(查无此址),F001
18,慶盛閣，穗禾苑，穗禾路，沙田，新界,慶盛閣，穗禾苑，穗禾路，沙田，新界,0,,接口无任何候选地址(查无此址),F001
19,"第1座,名城1期,美田路,大圍,沙田,新界","第1座,名城1期,美田路,大圍,沙田,新界",0,,接口无任何候选地址(查无此址),无问题
20,"第2座,名城1期,美田路,大圍,沙田,新界","第2座,名城1期,美田路,大圍,沙田,新界",0,,接口无任何候选地址(查无此址),无问题
21,"第3座,名城1期,美田路,大圍,沙田,新界","第3座,名城1期,美田路,大圍,沙田,新界",0,,接口无任何候选地址(查无此址),无问题
22,"第5座,名城1期,美田路,大圍,沙田,新界","第5座,名城1期,美田路,大圍,沙田,新界",0,,接口无任何候选地址(查无此址),无问题
23,"華園樓,竹園南邨,竹園道,竹園,九龍 ","華園樓,竹園南邨,竹園道,竹園,九龍",0,,接口无任何候选地址(查无此址),F002
24,藍田鯉安苑鯉景閣e座,藍田鯉安苑鯉景閣e座,0,,接口无任何候选地址(查无此址),F003;F006;C001;C004;A005
25,日出康城XIIB期 2B座,日出康城XIIB期 2B座,0,,接口无任何候选地址(查无此址),F006;F007;C001;C002;C004;A005
26,"定志閣,兆安苑,屯興路,屯門,新界","定志閣,兆安苑,屯興路,屯門,新界",0,,接口无任何候选地址(查无此址),无问题
27,"第七座,順利紀律部隊宿舍,利安道,牛頭角,九龍樓層","第七座,順利紀律部隊宿舍,利安道,牛頭角,九龍樓層",0,,接口无任何候选地址(查无此址),A001
28,"B座,觀龍樓第2期,龍華街,堅尼地城,港島","B座,觀龍樓第2期,龍華街,堅尼地城,港島",0,,接口无任何候选地址(查无此址),无问题
29,"第三十座,華翠園,穗禾路,沙田,新界","第三十座,華翠園,穗禾路,沙田,新界",0,,接口无任何候选地址(查无此址),A003
30,"第十七座,珀麗灣,珀麗路,馬灣,新界","第十七座,珀麗灣,珀麗路,馬灣,新界",0,,接口无任何候选地址(查无此址),无问题
31,"啟悅閣,啟翔苑,彩虹道,新蒲崗,九龍","啟悅閣,啟翔苑,彩虹道,新蒲崗,九龍",0,,接口无任何候选地址(查无此址),无问题
